spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,21,-3,-4,TR,2024-05-07,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,50,-8,0,SV,2024-05-07,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,47,-8,-3,NZ,2024-05-07,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,28,-3,-3,NI,2024-05-07,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
1dVGCdJ4SibwgThXlUBU0l,وغلاوتك,Amr Diab,38,8,12,EG,2024-05-07,58,False,230586,عودوني,1988-02-24,0.764,0.401,7,-18.609,0,0.0424,0.678,0.118,0.107,0.787,100.797,4
3JyEmaZmPsuIvFivnwN22k,All for You,Glenn Jones,30,20,-7,ZA,2024-05-06,53,False,274026,All Of You,1990-05-15,0.695,0.36,8,-12.65,1,0.054,0.174,0.0,0.0694,0.839,94.885,4
4gOXXoIOkur9FZsRpReV9x,Dandelion,Tevin Campbell,41,9,9,ZA,2024-05-06,51,False,372320,Tevin Campbell,1999-01-01,0.687,0.447,5,-13.461,0,0.0319,0.489,0.000641,0.113,0.519,138.133,4
1vbe9sh7U9vdMceAhitWr2,Can You Stand The Rain,New Edition,42,8,4,ZA,2024-05-06,65,False,297706,Heart Break,1988-01-01,0.614,0.37,8,-15.198,1,0.0353,0.678,0.00261,0.143,0.746,143.314,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,18,-1,-3,TR,2024-05-06,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,42,0,-12,SV,2024-05-06,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,39,-14,-7,NZ,2024-05-06,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,25,1,-2,NI,2024-05-06,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,44,2,-2,HN,2024-05-06,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
1dVGCdJ4SibwgThXlUBU0l,وغلاوتك,Amr Diab,46,4,4,EG,2024-05-06,58,False,230586,عودوني,1988-02-24,0.764,0.401,7,-18.609,0,0.0424,0.678,0.118,0.107,0.787,100.797,4
2naqSVQHgiaoEpxtkVOhmK,Llorarás,Dimension Latina,43,-4,7,EC,2024-05-06,77,False,228554,Una Dimensión De Éxitos,1996-01-17,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,4
2naqSVQHgiaoEpxtkVOhmK,Llorarás,Dimension Latina,32,5,10,CO,2024-05-06,77,False,228554,Una Dimensión De Éxitos,1996-01-17,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,17,0,3,TR,2024-05-05,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,42,8,4,SV,2024-05-05,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,25,14,5,NZ,2024-05-05,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,31,12,19,NZ,2024-05-05,88,False,160133,Pendulum (Expanded Edition),1970-12-07,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4
005cocyIL36CVjjtUEdVSq,En Solskinnsdag,Postgirobygget,50,0,0,NO,2024-05-05,53,False,186413,Melis,1996-01-01,0.786,0.436,10,-9.802,1,0.0433,0.411,0.0,0.107,0.734,120.1,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,26,10,-2,NI,2024-05-05,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,46,4,4,HN,2024-05-05,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,46,4,4,GT,2024-05-05,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
2naqSVQHgiaoEpxtkVOhmK,Llorarás,Dimension Latina,39,11,11,EC,2024-05-05,77,False,228554,Una Dimensión De Éxitos,1996-01-17,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,4
2naqSVQHgiaoEpxtkVOhmK,Llorarás,Dimension Latina,37,13,13,CO,2024-05-05,77,False,228554,Una Dimensión De Éxitos,1996-01-17,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,17,1,4,TR,2024-05-04,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,39,11,-7,NZ,2024-05-04,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,43,7,7,NZ,2024-05-04,88,False,160133,Pendulum (Expanded Edition),1970-12-07,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,36,2,0,NI,2024-05-04,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,18,-2,4,TR,2024-05-03,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,50,-4,-9,NZ,2024-05-03,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,38,-7,-5,NI,2024-05-03,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,16,-2,5,TR,2024-05-02,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
1dVGCdJ4SibwgThXlUBU0l,وغلاوتك,Amr Diab,43,7,7,SA,2024-05-02,57,False,230586,عودوني,1988-02-24,0.764,0.401,7,-18.609,0,0.0424,0.678,0.118,0.107,0.787,100.797,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,46,0,-5,NZ,2024-05-02,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,31,2,1,NI,2024-05-02,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,14,3,7,TR,2024-05-01,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,46,-2,4,NZ,2024-05-01,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,33,-8,-3,NI,2024-05-01,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
6H7fLdt0AeWpuxUKXuXWrx,Shree Hanuman Chalisa,Hariharan,41,9,9,IN,2024-05-01,72,False,586075,Shree Hanuman Chalisa (Hanuman Ashtak),1992-01-01,0.589,0.885,4,-3.4,1,0.035,0.545,0.0,0.132,0.831,91.01,4
6fhKs8j71oPIfLdvgT7cDz,Hava Nagila Medley,Voices of Israel,32,18,18,IL,2024-05-01,45,False,261973,Israeli Favorite Songs,1998-05-29,0.458,0.592,7,-18.13,1,0.0408,0.351,0.0,0.118,0.942,157.093,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,17,-2,1,TR,2024-04-30,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,50,-20,0,SV,2024-04-30,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
1dVGCdJ4SibwgThXlUBU0l,وغلاوتك,Amr Diab,50,0,0,SA,2024-04-30,57,False,230586,عودوني,1988-02-24,0.764,0.401,7,-18.609,0,0.0424,0.678,0.118,0.107,0.787,100.797,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,44,-12,6,NZ,2024-04-30,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,25,-2,5,NI,2024-04-30,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
5paLSZ9sF5jc3aSOSjQf3b,אהלן וסהלן,Lehakat Sfataim,10,40,40,IL,2024-04-30,32,False,348447,חגיגה מרוקאית,1997-01-01,0.725,0.678,6,-8.866,0,0.0426,0.0522,0.0,0.159,0.929,135.966,4
1FY2cAziLE3VYAcUL3v46r,מחרוזת שירי חינה,Lehakat Sfataim,33,17,17,IL,2024-04-30,18,False,445000,האלבום הכפול,1992-12-01,0.559,0.656,7,-12.631,1,0.0828,0.0735,0.0,0.362,0.879,129.794,4
4q90kBzpTkuWDqUjVkb4ny,ללה פטימה,Lehakat Sfataim,34,16,16,IL,2024-04-30,26,False,383843,חגיגה מרוקאית,1997-01-01,0.463,0.692,5,-8.571,1,0.162,0.124,0.0,0.967,0.66,148.876,4
3eq8LeiHeLe1nTtQobQpTo,חדוז'ה,Lehakat Sfataim,38,12,12,IL,2024-04-30,28,False,231105,חגיגה מרוקאית,1997-01-01,0.697,0.81,5,-8.12,1,0.0636,0.0728,0.000187,0.196,0.962,138.592,4
5ysowMwW2N5oOtFvFl0z7T,ללה יטמללי חביבי דיאלי,Lehakat Sfataim,42,8,8,IL,2024-04-30,22,False,234710,פותחים שולחן,1994-06-01,0.434,0.725,8,-12.316,0,0.0486,0.0431,0.0,0.0361,0.8,135.848,4
3JyEmaZmPsuIvFivnwN22k,All for You,Glenn Jones,23,27,27,ZA,2024-04-29,53,False,274026,All Of You,1990-05-15,0.695,0.36,8,-12.65,1,0.054,0.174,0.0,0.0694,0.839,94.885,4
1vbe9sh7U9vdMceAhitWr2,Can You Stand The Rain,New Edition,46,4,4,ZA,2024-04-29,65,False,297706,Heart Break,1988-01-01,0.614,0.369,8,-15.182,1,0.0353,0.678,0.00235,0.143,0.733,143.319,4
6Q0LyWaNDsLi6KefnEKAMd,Sen Evlisin,Gülden Karaböcek,15,5,4,TR,2024-04-29,73,False,220360,"Ağlıyorsam Yaşıyorum - Gülden Karaböcek Klasikleri, Vol. 2",1987-08-26,0.566,0.513,2,-9.082,1,0.041,0.356,0.0,0.188,0.382,100.017,4
4MNfkZ8dtva3cjJ2biqnDS,Ven Porque Te Necesito,Los Temerarios,30,16,7,SV,2024-04-29,77,False,175013,Internacionales Y Románticos,1989-01-01,0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,32,-2,18,NZ,2024-04-29,86,False,257800,Rumours (Super Deluxe),1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
