spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",50,0,0,SG,2024-04-19,88,False,247160,Memories...Do Not Open,2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",50,0,0,SG,2024-04-18,88,False,247160,Memories...Do Not Open,2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,50,-1,-20,IE,2024-04-03,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,48,-9,-6,NO,2024-04-02,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,49,-18,-18,IE,2024-04-02,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,50,0,0,,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,31,-4,-3,SG,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,41,2,-5,SG,2024-04-01,90,False,266773,Parachutes,2000-07-10,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",44,-3,-4,SG,2024-04-01,87,False,247160,Memories...Do Not Open,2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,39,5,1,NO,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,37,4,2,LU,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,31,4,-2,IE,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,46,4,-6,GB,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,49,1,-3,CZ,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,41,4,2,CH,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,30,6,7,BE,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,44,4,1,AT,2024-04-01,88,False,242373,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
