spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3w0w2T288dec0mgeZZqoNN,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",1,0,49,US,2024-02-22,86,True,264324,VULTURES 1,2024-02-09,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,4
7AYmToZ5y67fBjq4RLFbuq,TEXAS HOLD 'EM,Beyoncé,2,0,48,US,2024-02-22,75,True,235636,TEXAS HOLD 'EM,2024-02-10,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,3,0,0,US,2024-02-22,98,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,4,0,0,US,2024-02-22,98,False,182346,Stick Season,2022-10-14,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,5,1,3,US,2024-02-22,97,True,270697,american dream,2024-01-12,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,4
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",6,-1,3,US,2024-02-22,94,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,7,5,43,US,2024-02-22,83,False,159245,DECIDE,2022-09-16,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,8,-1,2,US,2024-02-22,99,True,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,9,0,2,US,2024-02-22,93,True,125901,Never Lose Me,2023-11-30,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,10,0,4,US,2024-02-22,99,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,11,0,1,US,2024-02-22,99,False,172264,La Diabla,2023-11-30,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,3
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,12,1,14,US,2024-02-22,94,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,13,-5,3,US,2024-02-22,99,False,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,14,2,9,US,2024-02-22,86,True,121399,Ghetto Fabulous,2023-11-17,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,4
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,15,-1,7,US,2024-02-22,100,True,131872,greedy,2023-09-15,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,16,1,5,US,2024-02-22,88,True,144390,TEC,2023-09-22,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,17,-2,8,US,2024-02-22,94,True,201800,SOS,2022-12-09,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,18,3,32,US,2024-02-22,78,True,170847,2093,2024-02-16,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,4
04CyMEHliadfQWMUJb1w99,BURN,"¥$, Kanye West, Ty Dolla $ign",19,0,31,US,2024-02-22,83,True,111458,VULTURES 1,2024-02-09,0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,20,-2,8,US,2024-02-22,91,False,228013,Something in the Orange,2022-04-22,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,21,-1,13,US,2024-02-22,87,True,163854,One Thing At A Time,2023-03-03,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,4
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,22,0,28,US,2024-02-22,78,True,161342,Whatever She Wants,2024-02-13,0.82,0.487,9,-7.358,0,0.0959,0.102,0.0,0.0803,0.431,96.028,4
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,23,1,27,US,2024-02-22,93,True,263040,Praise Jah In The Moonlight,2023-12-27,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,4
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,24,1,8,US,2024-02-22,96,True,156345,La Víctima,2023-08-17,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,4
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",25,-2,14,US,2024-02-22,93,True,319191,For All The Dogs,2023-10-06,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,4
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",26,0,11,US,2024-02-22,93,True,191700,UTOPIA,2023-07-28,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4
6dpLxbF7lfCAnC9QRTjNLK,Home,Good Neighbours,27,1,23,US,2024-02-22,86,False,157485,Home,2024-01-17,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,4
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,28,5,5,US,2024-02-22,91,True,135920,The Life Of Pablo,2016-06-10,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,4
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",29,0,11,US,2024-02-22,94,True,229938,The Forever Story (Extended Version),2022-10-31,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,4
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,30,2,8,US,2024-02-22,93,True,211582,UTOPIA,2023-07-28,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,4
1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",31,0,17,US,2024-02-22,80,False,244684,The Highlights (Deluxe),2024-02-09,0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,4
2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,32,-2,13,US,2024-02-22,93,True,185552,emails i can’t send fwd:,2023-03-17,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,4
6Qb7YsAqH4wWFUMbGsCpap,Training Season,Dua Lipa,33,1,17,US,2024-02-22,86,False,209487,Training Season,2024-02-15,0.815,0.582,5,-4.5,0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,4
7sTyAjxDXq9afwfSQy6D0s,Bandit,Don Toliver,34,3,16,US,2024-02-22,87,True,147746,Bandit,2024-02-01,0.671,0.615,1,-9.593,1,0.0955,0.00113,1.3e-06,0.211,0.109,130.031,4
5tEaVciE2GnR28aN6W9cLS,FUK SUMN,"¥$, Kanye West, Ty Dolla $ign",35,0,15,US,2024-02-22,82,True,209577,VULTURES 1,2024-02-09,0.774,0.818,4,-2.825,0,0.145,0.127,0.0,0.0529,0.438,142.084,4
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,36,-9,5,US,2024-02-22,95,True,219724,GUTS,2023-09-08,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),"Drake, Yeat",37,3,7,US,2024-02-22,92,True,260111,For All The Dogs,2023-10-06,0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,4
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,38,0,12,US,2024-02-22,88,False,177387,One Thing At A Time,2023-03-03,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,4
4HMop4Re0iucehmF7mgV27,act ii: date @ 8,4batz,39,-3,10,US,2024-02-22,89,True,113684,act ii: date @ 8,2023-12-15,0.718,0.417,5,-13.02,0,0.0502,0.435,8.73e-05,0.0748,0.749,138.811,4
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,40,2,10,US,2024-02-22,91,True,292799,2014 Forest Hills Drive,2014-12-09,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,41,2,6,US,2024-02-22,91,False,211000,808s & Heartbreak,2008-11-24,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,4
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,42,-1,8,US,2024-02-22,85,True,265360,Scarlet,2023-09-20,0.755,0.687,8,-6.247,0,0.101,0.183,0.000177,0.125,0.381,123.01,4
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,43,1,7,US,2024-02-22,92,False,184516,Blonde,2016-08-20,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,3
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,44,-5,6,US,2024-02-22,89,False,265493,Gettin' Old,2023-03-24,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,4
1icgLGTpX2fQXKRe4D7w2b,BACK TO ME,"¥$, Kanye West, Ty Dolla $ign",45,4,5,US,2024-02-22,81,True,295471,VULTURES 1,2024-02-09,0.809,0.788,1,-7.217,1,0.0889,0.00108,0.0,0.0625,0.344,95.637,4
7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",46,0,4,US,2024-02-22,80,True,215466,The Highlights (Deluxe),2024-02-09,0.854,0.668,1,-6.243,1,0.2,0.0604,8.39e-05,0.382,0.833,99.018,4
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,47,-2,3,US,2024-02-22,85,False,157477,One Thing At A Time,2023-03-03,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,4
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl,48,2,2,US,2024-02-22,91,False,213920,French Exit,2014-06-05,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,4
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,49,-2,1,US,2024-02-22,87,True,230480,Scarlet,2023-09-20,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,4
2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,50,-2,0,US,2024-02-22,88,True,171692,Heading South,2019-09-30,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,4
3w0w2T288dec0mgeZZqoNN,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",1,1,49,US,2024-02-21,84,True,264324,VULTURES 1,2024-02-09,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,4
7AYmToZ5y67fBjq4RLFbuq,TEXAS HOLD 'EM,Beyoncé,2,-1,48,US,2024-02-21,72,True,235636,TEXAS HOLD 'EM,2024-02-10,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,3,0,2,US,2024-02-21,98,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,4,0,3,US,2024-02-21,98,False,182346,Stick Season,2022-10-14,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",5,0,7,US,2024-02-21,94,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,6,0,4,US,2024-02-21,97,True,270697,american dream,2024-01-12,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,7,0,8,US,2024-02-21,99,True,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,8,1,18,US,2024-02-21,99,False,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,9,-1,8,US,2024-02-21,93,True,125901,Never Lose Me,2023-11-30,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,10,0,8,US,2024-02-21,99,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,11,0,8,US,2024-02-21,99,False,172264,La Diabla,2023-11-30,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,3
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,12,8,38,US,2024-02-21,82,False,159245,DECIDE,2022-09-16,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,13,2,20,US,2024-02-21,94,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,14,-1,15,US,2024-02-21,100,True,131872,greedy,2023-09-15,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,15,-3,15,US,2024-02-21,94,True,201800,SOS,2022-12-09,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,16,-2,12,US,2024-02-21,86,True,121399,Ghetto Fabulous,2023-11-17,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,4
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,17,-1,17,US,2024-02-21,88,True,144390,TEC,2023-09-22,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,18,-1,17,US,2024-02-21,91,False,228013,Something in the Orange,2022-04-22,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
04CyMEHliadfQWMUJb1w99,BURN,"¥$, Kanye West, Ty Dolla $ign",19,3,31,US,2024-02-21,81,True,111458,VULTURES 1,2024-02-09,0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,4
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,20,-2,22,US,2024-02-21,87,True,163854,One Thing At A Time,2023-03-03,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,4
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,21,2,29,US,2024-02-21,75,True,170847,2093,2024-02-16,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,4
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,22,18,28,US,2024-02-21,77,True,161342,Whatever She Wants,2024-02-13,0.82,0.487,9,-7.358,0,0.0959,0.102,0.0,0.0803,0.431,96.028,4
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",23,-4,22,US,2024-02-21,93,True,319191,For All The Dogs,2023-10-06,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,4
